Unnamed: 0,filename,candidates,choices,gamma,og_irv,og_condorcet,og_plurality,Bvote_free_irv,Bvote_free_condorcet,Bvote_free_plurality,Tvote_free_irv,Tvote_free_condorcet,Tvote_free_plurality,bullet_votes,voluntarily_truncated_votes,total_votes,level,gamma_complete,complete_ballots_count
160,Minnetonka_11072023_CityCouncilWard1.csv,4,3,0.890764647,Patsy Foster-Bolton,Patsy Foster-Bolton,Patsy Foster-Bolton,Patsy Foster-Bolton,Patsy Foster-Bolton,Patsy Foster-Bolton,,,,1162,,3021,LOCAL,0.44404973357015987,1126.0
161,Minnetonka_11072023_CityCouncilWard3.csv,3,3,0.932718071,Paula Ramaley,Paula Ramaley,Paula Ramaley,David Haeg,David Haeg,Paula Ramaley,Paula Ramaley,Paula Ramaley,Paula Ramaley,1171,2267.0,3359,LOCAL,0.793040293040293,1092.0
162,Minnetonka_11072023_CityCouncilWard4.csv,3,3,0.880073238,Kissy C. Coakley,Kissy C. Coakley,Kissy C. Coakley,Kissy C. Coakley,Kissy C. Coakley,Kissy C. Coakley,Kissy C. Coakley,Kissy C. Coakley,Kissy C. Coakley,1522,2204.0,3277,LOCAL,0.6337371854613234,1073.0
163,NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,5,5,0.66626626,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,Fernando Cabrera,Fernando Cabrera,Vanessa L. Gibson,34798,70533.0,101566,LOCAL,0.15328843489188929,31033.0
164,NewYorkCity_06222021_DEMBoroughPresidentKings.csv,12,5,0.68733287,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,,,,94850,,289426,LOCAL,,
165,NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,7,5,0.67725712,Mark D. Levine,Mark D. Levine,Mark D. Levine,Mark D. Levine,Mark D. Levine,Mark D. Levine,,,,75226,,237604,LOCAL,,
166,NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,3,4,0.92290205,Donovan J. Richards Jr.,Donovan J. Richards Jr.,Donovan J. Richards Jr.,Donovan J. Richards Jr.,Donovan J. Richards Jr.,Donovan J. Richards Jr.,Elizabeth S. Crowley,Elizabeth S. Crowley,Donovan J. Richards Jr.,80207,118949.0,195336,LOCAL,0.8028460340110228,76387.0
167,NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,5,5,0.68507642,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,9871,20283.0,28264,LOCAL,0.18669339681744143,7981.0
168,NewYorkCity_06222021_DEMComptrollerCitywide.csv,10,5,0.66401404,Brad Lander,Brad Lander,Brad Lander,Brad Lander,Brad Lander,Brad Lander,,,,283089,,868572,LOCAL,,
169,NewYorkCity_06222021_DEMCouncilMember10thCouncilDistrict.csv,8,5,0.69567877,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,,,,6353,,19601,LOCAL,,
170,NewYorkCity_06222021_DEMCouncilMember11thCouncilDistrict.csv,7,5,0.64479786,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,,,,4491,,17041,LOCAL,,
171,NewYorkCity_06222021_DEMCouncilMember12thCouncilDistrict.csv,3,4,0.85093135,Kevin Riley,Kevin Riley,Kevin Riley,Kevin Riley,Kevin Riley,Kevin Riley,Kevin Riley,Kevin Riley,Kevin Riley,6074,8541.0,17341,LOCAL,0.70625,8800.0
172,NewYorkCity_06222021_DEMCouncilMember13thCouncilDistrict.csv,5,5,0.69551247,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,4215,6953.0,9961,LOCAL,0.2473404255319149,3008.0
173,NewYorkCity_06222021_DEMCouncilMember14thCouncilDistrict.csv,6,5,0.59940714,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,,,,3062,,9446,LOCAL,0.05659806295399516,3304.0
174,NewYorkCity_06222021_DEMCouncilMember15thCouncilDistrict.csv,8,5,0.64000487,Oswald Feliz,Oswald Feliz,Oswald Feliz,Oswald Feliz,Oswald Feliz,Oswald Feliz,,,,2634,,8239,LOCAL,,
175,NewYorkCity_06222021_DEMCouncilMember16thCouncilDistrict.csv,4,5,0.81974506,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,3970,6426.0,10119,LOCAL,0.553208773354996,3693.0
176,NewYorkCity_06222021_DEMCouncilMember18thCouncilDistrict.csv,8,5,0.58114177,Amanda Farias,Amanda Farias,Amanda Farias,Amanda Farias,Amanda Farias,Amanda Farias,,,,3822,,14031,LOCAL,,
