,filename,diff,linear voters failure,gamma_ignored,gamma_n_init,gamma,#candidates,level,partisan,type,IRV1,IRV2,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1
0,Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,[],no,,,0.670398136,8,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden
1,Alaska_08162022_HouseofRepresentativesSpecial.csv,[],no,,,0.96684176,3,FEDERAL,YES,R,"Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Peltola, Mary S.",,"Begich, Nick","Peltola, Mary S.","Begich, Nick","Begich, Nick"
2,Alaska_11082022_GovernorLieutenantGovernor.csv,[],no,,,0.880670776,4,STATE,YES,E,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom
3,Alaska_11082022_HouseDistrict1.csv,[],no,,,1.0,2,STATE,YES,R,"Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""",,"Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan"""
4,Alaska_11082022_HouseDistrict10.csv,[],no,,,0.936001177,3,STATE,YES,R,"Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.",,"Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W."
5,Alaska_11082022_HouseDistrict11.csv,[],no,,,0.947909884,3,STATE,YES,R,"Coulombe, Julie","Coulombe, Julie","Coulombe, Julie","Featherly, Walter T.",,"Coulombe, Julie","Featherly, Walter T.","Coulombe, Julie","Coulombe, Julie"
6,Alaska_11082022_HouseDistrict12.csv,[],no,,,1.0,2,STATE,YES,R,"Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.",,"Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R."
7,Alaska_11082022_HouseDistrict13.csv,[],no,,,1.0,2,STATE,YES,R,"Josephson, Andy","Josephson, Andy","Josephson, Andy","Josephson, Andy",,"Josephson, Andy","Josephson, Andy","Josephson, Andy","Josephson, Andy"
8,Alaska_11082022_HouseDistrict14.csv,[],no,,,1.0,2,STATE,YES,R,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S."
9,Alaska_11082022_HouseDistrict15.csv,[],no,,,0.955570839,3,STATE,YES,R,"McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","Wells, Denny",,"McKay, Thomas W. ""Tom""","Wells, Denny","McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom"""
