filename,diff,linearvotersfailure,gamma,null_gamma,mirror,choices,candidates,level,partisan,type,irv1,irv2,condorcet1,plurality1,approval1irv2,condorcet2,plurality2,approval2,approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality,partisan2
Alaska_11082022_HouseDistrict16.csv,[],no,1,,,,2,STATE,YES,R,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""",,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""",0.997998,0.27449888,0,,1
Alaska_11082022_HouseDistrict17.csv,[],no,1,,,,2,STATE,YES,R,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",0.992993,0.38185257,0,,1
Alaska_11082022_HouseDistrict18.csv,[],no,0.94289762,,YES,,3,STATE,YES,R,"Groh, Cliff","Groh, Cliff","Groh, Cliff","Nelson, David",,"Groh, Cliff","Nelson, David","Groh, Cliff","Groh, Cliff",0.63063061,0.25291675,0,1.6584686,1
Alaska_11082022_HouseDistrict19.csv,[],no,1,,,,2,STATE,YES,R,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",0.993994,0.16849662,0,,1
Alaska_11082022_HouseDistrict2.csv,[],no,1,,,,2,STATE,YES,R,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca",,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca",0.997998,0.19066937,0,,1
Alaska_11082022_HouseDistrict20.csv,[],no,0.85363907,,,,4,STATE,YES,R,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",0.97597599,0.13787247,0,1.91251,1
Alaska_11082022_HouseDistrict21.csv,[],no,1,,,,2,STATE,YES,R,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.",,"Mears, Donna C.","Mears, Donna C.","Wolfe, Forrest M.","Wolfe, Forrest M.",0.997998,0.45851648,0,,1
Alaska_11082022_HouseDistrict22.csv,[],no,1,,,,2,STATE,YES,R,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.",,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.",0.996997,0.46179774,0,,1
Alaska_11082022_HouseDistrict23.csv,[],no,1,,,,2,STATE,YES,R,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",0.995996,0.24003518,0,,1
Alaska_11082022_HouseDistrict24.csv,[],no,0.96160001,,,,3,STATE,YES,R,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan",,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan",0.98598599,0.16536644,0,1.7723951,1
Alaska_11082022_HouseDistrict25.csv,[],no,1,,,,2,STATE,YES,R,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",0.996997,0,0,,1
Alaska_11082022_HouseDistrict26.csv,[],no,1,,,,2,STATE,YES,R,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.",,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.",0.997998,0,0,,1
Alaska_11082022_HouseDistrict27.csv,[],no,0.8960644,,,,3,STATE,YES,R,"Eastman, David","Eastman, David","Eastman, David","Eastman, David",,"Eastman, David","Eastman, David","Eastman, David","Eastman, David",0.987988,0.29048997,0.52427042,2.2787588,1
