Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,diff,linear voters failure,gamma,mirror,#candidates,level,partisan,type,IRV1,IRV2,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality
36,36,36,Alaska_11082022_HouseDistrict9.csv,[],no,1,,2,STATE,YES,R,"Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.",,"Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.",0.997997998,0.248207886,0,
37,37,37,Alaska_11082022_SenateDistrictA.csv,[],no,1,,2,STATE,YES,S,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.",,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.",0.996996997,0.028147585,0,
41,41,41,Alaska_11082022_SenateDistrictF.csv,[],no,1,,2,STATE,YES,S,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.",,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.",0.997997998,0.257835277,0,
42,42,42,Alaska_11082022_SenateDistrictG.csv,[],no,1,,2,STATE,YES,S,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi",,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi",0.997997998,0.272354014,0,
43,43,43,Alaska_11082022_SenateDistrictH.csv,[],no,1,,2,STATE,YES,S,"Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt",,"Claman, Matt","Claman, Matt","Costello, Mia","Costello, Mia",0.997997998,0.427031714,0,
44,44,44,Alaska_11082022_SenateDistrictI.csv,[],no,1,,2,STATE,YES,S,"Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.",,"Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.",0.997997998,0.047526502,0,
46,46,46,Alaska_11082022_SenateDistrictK.csv,[],no,1,,2,STATE,YES,S,"Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill",,"Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill",0.996996997,0.246381008,0,
47,47,47,Alaska_11082022_SenateDistrictL.csv,[],no,1,,2,STATE,YES,S,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.",,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.",0.994994995,0.329305135,0,
48,48,48,Alaska_11082022_SenateDistrictM.csv,[],no,1,,2,STATE,YES,S,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley","Hughes, Shelley",,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley","Hughes, Shelley",0.997997998,0,0,
50,50,50,Alaska_11082022_SenateDistrictO.csv,[],no,1,,2,STATE,YES,S,"Shower, Michael K.","Shower, Michael K.","Shower, Michael K.","Shower, Michael K.",,"Shower, Michael K.","Shower, Michael K.","Shower, Michael K.","Shower, Michael K.",0.994994995,0.44213599,0,
54,54,54,Alaska_11082022_SenateDistrictS.csv,[],no,1,,2,STATE,YES,S,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.",,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.",0.995995996,0.229651163,0,
89,89,89,Burlington_03072023_CityCouncilCentralDistrict.csv,[],no,1,,2,LOCAL,YES,R,MELO GRANT,MELO GRANT,MELO GRANT,MELO GRANT,,MELO GRANT,MELO GRANT,MELO GRANT,MELO GRANT,0.993993994,0.284217015,0,
90,90,90,Burlington_03072023_CityCouncilEastDistrict.csv,[],no,1,,2,LOCAL,YES,R,"TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR",,"TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR",0.991991992,0.415309445,0,
1,1,1,Alaska_08162022_HouseofRepresentativesSpecial.csv,[],no,0.96684176,,3,FEDERAL,YES,R,"Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Peltola, Mary S.",,"Begich, Nick","Peltola, Mary S.","Begich, Nick","Begich, Nick",0.977977978,0.443535773,0.585043574,3.52391451
4,4,4,Alaska_11082022_HouseDistrict10.csv,[],no,0.936001177,,3,STATE,YES,R,"Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.",,"Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.",0.990990991,0.19891217,0,3.063598005
5,5,5,Alaska_11082022_HouseDistrict11.csv,[],no,0.947909884,YES,3,STATE,YES,R,"Coulombe, Julie","Coulombe, Julie","Coulombe, Julie","Featherly, Walter T.",,"Coulombe, Julie","Featherly, Walter T.","Coulombe, Julie","Coulombe, Julie",0.623623624,0.286943145,0,2.613293642
9,9,9,Alaska_11082022_HouseDistrict15.csv,[],no,0.955570839,,3,STATE,YES,R,"McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","Wells, Denny",,"McKay, Thomas W. ""Tom""","Wells, Denny","McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""",0.981981982,0.515957446,0.396894537,2.686026309
12,12,12,Alaska_11082022_HouseDistrict18.csv,[],no,0.942897593,YES,3,STATE,YES,R,"Groh, Cliff","Groh, Cliff","Groh, Cliff","Nelson, David",,"Groh, Cliff","Nelson, David","Groh, Cliff","Groh, Cliff",0.630630631,0.252916743,0,1.65846857
19,19,19,Alaska_11082022_HouseDistrict24.csv,[],no,0.9616,,3,STATE,YES,R,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan",,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan",0.985985986,0.165366448,0,1.772395181
22,22,22,Alaska_11082022_HouseDistrict27.csv,[],no,0.896064401,,3,STATE,YES,R,"Eastman, David","Eastman, David","Eastman, David","Eastman, David",,"Eastman, David","Eastman, David","Eastman, David","Eastman, David",0.987987988,0.290489959,0.524270434,2.278758724
25,25,25,Alaska_11082022_HouseDistrict30.csv,[],no,0.97451553,,3,STATE,YES,R,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.",,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.",0.307307307,0,0,3.155532454
26,26,26,Alaska_11082022_HouseDistrict31.csv,['Approval'],no,0.917602996,YES,3,STATE,YES,R,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.",,"Dibert, Maxine L.","Dibert, Maxine L.","LeBon, Barton S.","Dibert, Maxine L.",0.650650651,0.336815097,0.653764206,2.228397205
27,27,27,Alaska_11082022_HouseDistrict32.csv,[],no,0.915222187,YES,3,STATE,YES,R,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.",,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.",0.982982983,0.147380265,0,2.640615409
28,28,28,Alaska_11082022_HouseDistrict34.csv,[],no,0.929268293,,3,STATE,YES,R,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.",,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.",0.980980981,0.167161964,0,3.250586522
34,34,34,Alaska_11082022_HouseDistrict6.csv,[],no,0.941182649,YES,3,STATE,YES,R,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.",,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.",0.982982983,0.311141305,0,2.666404173
38,38,38,Alaska_11082022_SenateDistrictC.csv,[],no,0.945124133,,3,STATE,YES,S,"Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary",,"Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary",0.544544545,0.162888995,0,2.139696775
39,39,39,Alaska_11082022_SenateDistrictD.csv,[],no,0.940797264,,3,STATE,YES,S,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.",,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.",0.322322322,0.315069118,0.326010726,3.412683569
40,40,40,Alaska_11082022_SenateDistrictE.csv,[],no,0.974685817,,3,STATE,YES,S,"Giessel, Cathy","Giessel, Cathy","Giessel, Cathy","Giessel, Cathy",,"Giessel, Cathy","Giessel, Cathy","Giessel, Cathy","Giessel, Cathy",0.987987988,0,0,3.671593813
45,45,45,Alaska_11082022_SenateDistrictJ.csv,[],no,0.950057803,YES,3,STATE,YES,S,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest",,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest",0.976976977,0.199881546,0,3.132363285
