filename,#candidates,choices,null_gamma,permissive_gamma,strict_gamma
Berkeley_11062012_CityCouncilDistrict2.csv,3,3.0,0.868431568,0.91354616,0.889732528
Berkeley_11062012_CityCouncilDistrict3.csv,2,3.0,1.0,1.0,1.0
Berkeley_11062012_CityCouncilDistrict5.csv,2,3.0,1.0,1.0,1.0
Berkeley_11062012_CityCouncilDistrict6.csv,2,3.0,1.0,1.0,1.0
Berkeley_11062012_Mayor.csv,7,3.0,0.791391391,0.855513881,0.489398194
Berkeley_11062018_CityAuditor.csv,2,3.0,1.0,1.0,1.0
Berkeley_11062018_CityCouncilDistrict1.csv,4,3.0,0.8624,0.859604663,0.682970096
Berkeley_11062018_CityCouncilDistrict4.csv,3,3.0,0.8921,0.894055434,0.854485777
Berkeley_11062018_CityCouncilDistrict7.csv,3,3.0,0.913686314,0.930703625,0.912224591
Berkeley_11062018_CityCouncilDistrict8.csv,4,3.0,0.824524525,0.881886159,0.631771708
Berkeley_11082016_CityCouncilDistrict2.csv,3,3.0,0.868668669,0.86450168,0.830067189
Berkeley_11082016_CityCouncilDistrict3.csv,4,3.0,0.8536,0.84234171,0.688895128
Berkeley_11082016_CityCouncilDistrict5.csv,2,3.0,1.0,1.0,1.0
Berkeley_11082016_CityCouncilDistrict6.csv,3,3.0,0.8856,0.882384461,0.828131279
Berkeley_11082016_Mayor.csv,8,3.0,0.774,0.903156155,0.5852128
Burlington_03032009_Mayor.csv,5,5.0,0.328771229,0.651282051,0.471683389
Burlington_03072006_Mayor.csv,5,5.0,0.3153,0.720744681,0.565159574
Burlington_03072023_CityCouncilCentralDistrict.csv,2,3.0,1.0,1.0,1.0
Burlington_03072023_CityCouncilEastDistrict.csv,2,3.0,1.0,1.0,1.0
Burlington_03072023_CityCouncilSouthDistrict.csv,3,4.0,0.8653,0.881618084,0.856632957
Corvallis_11082022_CityCouncilWard9.csv,3,3.0,0.8701,0.845995045,0.83195706
Corvallis_11082022_Mayor.csv,3,3.0,0.8788,0.806260616,0.788546469
Easthampton_11022021_Mayor.csv,66,4.0,0.364593781,0.860262009,0.608927705
Eastpointe_11052019_CityCouncil.csv,4,4.0,0.6161,0.699920032,0.593562575
ElkRidge_11022021_Mayor.csv,3,3.0,0.8738,0.90145149,0.894576012
Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,11,3.0,0.7653,0.853185216,0.524514846
Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,11,3.0,0.762862863,0.86144785,0.444733532
Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,11,3.0,0.767265469,0.859216398,0.417300054
Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,5,5.0,0.294405594,0.775845529,0.545241157
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,4,4.0,0.604004004,0.750666667,0.632
LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,3,3.0,0.877077077,0.783333333,0.755769231
Maine_06122018_DemocraticPrimaryforCD2.csv,4,5.0,0.602,0.759089005,0.687192716
Maine_06122018_DemocraticPrimaryforGovernor.csv,7,8.0,0.048751249,0.425970152,0.246062664
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,3,3.0,0.880719281,0.811806656,0.788431062
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,3,3.0,0.872927073,0.816105769,0.794471154
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,3,3.0,0.8751,0.776243094,0.735267035
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,3,3.0,0.8806,0.800394283,0.77821587
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,3,3.0,0.8685,0.781368103,0.749433107
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,3,3.0,0.8905,0.864152873,0.848793606
Maine_11062018_CongressionalDistrict2.csv,4,5.0,0.604304304,0.843787158,0.78295979
Maine_11082022_CongressionalDistrict2.csv,3,4.0,0.8894,0.954574129,0.934384502
Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,12,3.0,0.73966034,0.884719886,0.56824945
Minneapolis_11022021_CityCouncilWard1.csv,4,3.0,0.808691309,0.825439902,0.621027751
Minneapolis_11022021_CityCouncilWard10.csv,6,3.0,0.7815,0.896078247,0.706197686
Minneapolis_11022021_CityCouncilWard11.csv,5,3.0,0.826426426,0.950591406,0.788591106
Minneapolis_11022021_CityCouncilWard12.csv,3,3.0,0.9346,0.97845953,0.962597911
Minneapolis_11022021_CityCouncilWard13.csv,5,3.0,0.813813814,0.952725284,0.872941605
Minneapolis_11022021_CityCouncilWard2.csv,5,3.0,0.791891892,0.895599202,0.682071211
Minneapolis_11022021_CityCouncilWard3.csv,4,3.0,0.8124,0.921297687,0.831405828
Minneapolis_11022021_CityCouncilWard4.csv,3,3.0,0.877177177,0.914952368,0.839569239
Minneapolis_11022021_CityCouncilWard5.csv,7,3.0,0.768831169,0.826642336,0.460218978
Minneapolis_11022021_CityCouncilWard6.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11022021_CityCouncilWard7.csv,4,3.0,0.8712,0.949745712,0.792345487
Minneapolis_11022021_CityCouncilWard8.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11022021_CityCouncilWard9.csv,8,3.0,0.7441,0.898175837,0.599132775
Minneapolis_11022021_Mayor.csv,18,3.0,0.725651303,0.883744527,0.282111335
Minneapolis_11022021_ParkBoardAtLarge.csv,7,3.0,0.757842158,0.830588324,0.4994064
Minneapolis_11022021_ParkBoardDistrict2.csv,3,3.0,0.8722,0.85455053,0.806625721
Minneapolis_11022021_ParkBoardDistrict3.csv,3,3.0,0.889389389,0.931166096,0.903329824
Minneapolis_11022021_ParkBoardDistrict4.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11022021_ParkBoardDistrict5.csv,3,3.0,0.8604,0.904342267,0.868590475
Minneapolis_11022021_ParkBoardDistrict6.csv,4,3.0,0.802602603,0.891073326,0.750388294
Minneapolis_11052013_Mayor.csv,35,3.0,0.704513541,0.797500567,0.167527527
Minneapolis_11052013_PRBoardDistrict2.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11052013_PRBoardDistrict6.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11052013_Ward13CityCouncil.csv,5,3.0,0.7915,0.688474414,0.50167384
Minneapolis_11052013_Ward5CityCouncil.csv,4,3.0,0.8281,0.844501718,0.701030928
Minneapolis_11052013_Ward9CityCouncil.csv,6,3.0,0.7654,0.800720288,0.329171669
Minneapolis_11062009_Mayor.csv,11,3.0,0.735335335,0.934910455,0.595015645
Minneapolis_11062009_PRBoardDistrict1.csv,3,3.0,0.855655656,0.923817713,0.903009458
Minneapolis_11062009_PRBoardDistrict2.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11062009_PRBoardDistrict3.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11062009_PRBoardDistrict5.csv,5,3.0,0.805005005,0.915813715,0.706883316
Minneapolis_11062009_PRBoardDistrict6.csv,4,3.0,0.8151,0.954933301,0.851339983
Minneapolis_11062009_Ward10CityCouncil.csv,4,3.0,0.848951049,0.944043321,0.805655836
Minneapolis_11062009_Ward11CityCouncil.csv,3,3.0,0.8875,0.981736302,0.972229172
Minneapolis_11062009_Ward12CityCouncil.csv,4,3.0,0.8579,0.935894714,0.815750371
Minneapolis_11062009_Ward13CityCouncil.csv,3,3.0,0.8599,0.969722315,0.928404149
Minneapolis_11062009_Ward1CityCouncil.csv,5,3.0,0.776823177,0.880544355,0.558971774
Minneapolis_11062009_Ward2CityCouncil.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11062009_Ward3CityCouncil.csv,4,3.0,0.868168168,0.978072179,0.901781635
Minneapolis_11062009_Ward4CityCouncil.csv,4,3.0,0.80990991,0.899271845,0.764563107
Minneapolis_11062009_Ward5CityCouncil.csv,5,3.0,0.8182,0.88960739,0.713163972
Minneapolis_11062009_Ward6CityCouncil.csv,6,3.0,0.776523477,0.852178423,0.5
Minneapolis_11062009_Ward7CityCouncil.csv,3,3.0,0.8745,0.937800137,0.888177453
Minneapolis_11062009_Ward8CityCouncil.csv,5,3.0,0.8255,0.872292273,0.490139024
Minneapolis_11062009_Ward9CityCouncil.csv,4,3.0,0.8646,0.95322419,0.869361844
Minneapolis_11072017_PRBoardDistrict1.csv,3,3.0,0.8773,0.907800422,0.877442024
Minneapolis_11072017_PRBoardDistrict2.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11072017_PRBoardDistrict3.csv,3,3.0,0.8823,0.952423391,0.932816892
Minneapolis_11072017_PRBoardDistrict4.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11072017_PRBoardDistrict5.csv,3,3.0,0.8871,0.939108911,0.885457921
Minneapolis_11072017_PRBoardDistrict6.csv,4,3.0,0.8075,0.934555116,0.821720978
Minneapolis_11072017_Ward10CityCouncil.csv,4,3.0,0.849,0.855466174,0.794672293
Minneapolis_11072017_Ward11CityCouncil.csv,3,3.0,0.8731,0.860083206,0.814867528
Minneapolis_11072017_Ward12CityCouncil.csv,3,3.0,0.8377,0.893679858,0.85499114
Minneapolis_11072017_Ward13CityCouncil.csv,2,3.0,1.0,1.0,1.0
Minneapolis_11072017_Ward1CityCouncil.csv,3,3.0,0.8862,0.93523613,0.885029803
Minneapolis_11072017_Ward3CityCouncil.csv,4,3.0,0.8271,0.891756347,0.669104587
Minneapolis_11072017_Ward4CityCouncil.csv,4,3.0,0.812787213,0.898040708,0.802548982
Minneapolis_11072017_Ward5CityCouncil.csv,4,3.0,0.8228,0.885721074,0.739130435
Minneapolis_11072017_Ward6CityCouncil.csv,4,3.0,0.8186,0.988496188,0.979071379
Minneapolis_11072017_Ward7CityCouncil.csv,4,3.0,0.820620621,0.879762167,0.731006386
Minneapolis_11072017_Ward8CityCouncil.csv,4,3.0,0.8673,0.802688308,0.581283287
Minneapolis_11072017_Ward9CityCouncil.csv,4,3.0,0.8294,0.822109276,0.709021601
Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,5,3.0,0.816383616,0.92129415,0.754797441
Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,5,3.0,0.7929,0.919126328,0.767611177
Minnetonka_11022021_Mayor.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_CONCouncilMember19thCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,5,5.0,0.326473526,0.66626627,0.526386783
NewYorkCity_06222021_DEMBoroughPresidentKings.csv,12,5.0,0.1356,0.687332859,0.351208945
NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,7,5.0,0.1965,0.677257117,0.40669349
NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,3,4.0,0.8803,0.922902076,0.870628046
NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,5,5.0,0.3251,0.685076422,0.539803283
NewYorkCity_06222021_DEMComptrollerCitywide.csv,10,5.0,0.146,0.664014037,0.358814238
NewYorkCity_06222021_DEMCouncilMember10thCouncilDistrict.csv,8,5.0,0.174274274,0.695678792,0.383602877
NewYorkCity_06222021_DEMCouncilMember11thCouncilDistrict.csv,7,5.0,0.202,0.644797841,0.404142949
NewYorkCity_06222021_DEMCouncilMember12thCouncilDistrict.csv,3,4.0,0.8896,0.850931319,0.811544894
NewYorkCity_06222021_DEMCouncilMember13thCouncilDistrict.csv,5,5.0,0.2824,0.695512499,0.601345246
NewYorkCity_06222021_DEMCouncilMember14thCouncilDistrict.csv,6,5.0,0.2305,0.599407156,0.434787212
NewYorkCity_06222021_DEMCouncilMember15thCouncilDistrict.csv,8,5.0,0.187012987,0.640004855,0.357567666
NewYorkCity_06222021_DEMCouncilMember16thCouncilDistrict.csv,4,5.0,0.603203203,0.819745034,0.7149916
NewYorkCity_06222021_DEMCouncilMember17thCouncilDistrict.csv,2,3.0,1.0,1.0,1.0
NewYorkCity_06222021_DEMCouncilMember18thCouncilDistrict.csv,8,5.0,0.1748,0.581141758,0.361984178
NewYorkCity_06222021_DEMCouncilMember19thCouncilDistrict.csv,6,5.0,0.227,0.722413398,0.539955647
NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,9,5.0,0.146253746,0.642291314,0.351527085
