,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,"Yundt, Robert",2.0,8197,0.5320308950477056,5810,641,1746
1,"Wilson, David S.",0.6990264254846228,4566,0.29635879794898423,2881,538,1147
2,"Wright, Stephen",0.0,2644,0.17161030700331018,1581,306,757
