,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,Cam Gordon,3.001461293568189,2508,0.2634177082239261,484,907,1117,-1,-1
1,Robin Wonsley Worlobah,4.0,2764,0.29030564016384836,405,938,1421,-1,-1
2,Yusra Arab,2.6285290356824835,2719,0.28557924587753386,802,764,1153,-1,-1
3,Tom Anderson,2.3619814063116333,983,0.10324545740993593,233,331,419,-1,-1
4,Guy T Gaskin,0.0,547,0.0574519483247558,302,98,147,-1,-1
