,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,Justin M. Krebs,2.911205694088558,5749,0.15943757279937879,1403,1150,1169,648,1379,-1,-1
1,Mamnun M. Haq,4.231326525231811,1462,0.04054578734261468,393,341,223,140,365,-1,-1
2,Briget Rein,2.612246686913128,2547,0.07063619723778357,686,519,508,279,555,-1,-1
3,Douglas M. Schneider,0.0,5004,0.13877641577458538,1289,1346,899,504,966,-1,-1
4,Brandon West,1.1404138738055556,8095,0.22449941760496978,1431,1702,1687,1197,2078,-1,-1
5,Shahana K. Hanif,1.9884277653240932,11605,0.32184258694325807,1848,2412,2379,1912,3054,-1,-1
6,Jessica Simmons,6.0,1596,0.04426202229740973,516,214,214,120,532,-1,-1
