,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,Jumaane D. Williams,0.0,574151,0.7046250024544937,353824,54983,165344
1,Anthony L. Herbert,1.0131907309182604,175630,0.21554136312761404,80011,29243,66376
2,Theo Bruce Chino Tavarez,2.0,65051,0.07983363441789228,25446,9881,29724
