,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,Brockett,0.18162731612025185,11548,0.35045977360322905,817,4084,1502,5145
1,Speer,0.0,6373,0.19340839428241935,312,2394,604,3063
2,Yates,1.5247372037909135,14280,0.4333707626475676,5770,2793,1208,4509
3,Tweedlie,3.0,750,0.022761069466784013,127,135,36,452
