,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,Charles Barron,3.0,7468,0.4779214130295661,3256,1070,538,2604
1,Wilfredo Florentino,0.0,1601,0.10245744272366568,466,241,243,651
2,Nikki Lucas,2.0550649922685236,5757,0.36842442083706645,1971,1231,792,1763
3,Gena M. Watson,0.9795246231146191,800,0.05119672340970178,231,103,112,354
