,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,NIKKI FORTUNATO BAS,0.8015043758547619,11321,0.5389155995620507,3267,3418,4636
1,ABEL GUILLÉN,0.0,8332,0.3966296948636169,3265,1856,3211
2,KENZIE DONTE SMITH,2.0,1354,0.06445470557433236,375,333,646
