,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,"Park, Janice L.",2.0,7663,0.44978576040382695,5816,567,1280
1,"Borbridge, Harold",0.0,1191,0.06990667371016024,605,349,237
2,"Kaufman, James D.",0.6771701881059017,8183,0.4803075658860128,5364,1863,956
