,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9
0,Douglas J. Shapiro,0.0,1245,0.0726752670597163,287,193,185,141,439,-1,-1,-1,-1
1,Lynn C. Schulman,3.7609758335924472,3952,0.2306928959196778,1113,668,673,359,1139,-1,-1,-1,-1
2,Sheryl Ann Fetik,2.615596716441532,489,0.028544743447551223,80,77,78,48,206,-1,-1,-1,-1
3,Eliseo Dorion Labayen,7.411536688820568,696,0.04062810110326309,128,102,136,79,251,-1,-1,-1,-1
4,Edwin K. Wong,6.278834213527934,1361,0.07944661724359349,249,365,196,101,450,-1,-1,-1,-1
5,Avi Cyperstein,1.1944657905239475,1849,0.10793298698266302,451,461,303,158,476,-1,-1,-1,-1
6,David Aronov,4.952365728946538,2356,0.13752845718288484,732,364,315,228,717,-1,-1,-1,-1
7,Aleda F. Gagarin,3.933032119392408,3320,0.19380071215924347,714,609,642,366,989,-1,-1,-1,-1
8,Donghui Zang,8.0,1863,0.1087502189014068,345,375,329,207,607,-1,-1,-1,-1
