,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,SADIA KHAN,4.0,1758,0.27083654290556153,312,193,463,790
1,RON ROSENBAUM,3.6125869655566447,3226,0.49699584039439226,422,322,850,1632
2,BECKY HOPWOOD,3.1401305218061295,1325,0.20412879371437376,149,178,340,658
3,LUCY BAIRD,2.763514337360256,182,0.02803882298567247,25,24,29,104
