,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,SALEEM SHAKIR-GILMORE,1.3504948110420973,3317,0.20551425030978934,735,643,1939,-1
1,CHERI SPIGNER,3.0,1313,0.08135068153655514,379,188,746,-1
2,NINA SENN,0.0,6189,0.38345724907063194,1527,1595,3067,-1
3,KARL DEBRO,0.7643156373730385,5321,0.32967781908302357,1524,1058,2739,-1
