,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8
0,Manuel F. Perez,5.228548668823186,517,0.034635224760501106,129,76,72,54,186,-1,-1,-1
1,Alfonso Quiroz,3.7557553329564755,1368,0.09164601058484625,286,197,232,166,487,-1,-1,-1
2,Shekar Krishnan,2.373492794164812,3925,0.26294633884906543,726,934,760,398,1107,-1,-1,-1
3,William H. Salgado,7.0,285,0.01909291887184297,94,43,32,26,90,-1,-1,-1
4,Yi Andy Chen,0.0,4028,0.2698465867220473,2323,468,252,192,793,-1,-1,-1
5,Carolyn Tran,1.6266839695490458,2310,0.15475313190862197,382,631,412,225,660,-1,-1,-1
6,Liliana C. Melo,1.1054519136066645,947,0.06344208481275541,326,105,114,90,312,-1,-1,-1
7,Fatima Baryab,2.654387426512486,1547,0.10363770349031956,523,191,163,116,554,-1,-1,-1
