,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8
0,Oswald Feliz,3.1634089003593666,3181,0.38609054496904965,1041,478,343,185,1134,-1,-1,-1
1,Latchmi Devi Gopal,7.0,196,0.0237892948173322,46,35,22,20,73,-1,-1,-1
2,Ischia J. Bravo,4.895135023226706,1621,0.19674717805558928,523,259,197,102,540,-1,-1,-1
3,Bernadette Ferrara,2.822297652061708,990,0.12016021361815754,269,107,77,61,476,-1,-1,-1
4,Lillithe Lozano,3.8761929187168276,170,0.020633572035441194,70,10,11,13,66,-1,-1,-1
5,Troy Blackwell,1.7231076642444756,847,0.102803738317757,282,117,74,64,310,-1,-1,-1
6,John E. Sanchez,3.9528435433504807,1038,0.12598616336934093,337,133,105,82,381,-1,-1,-1
7,Kenny G. Agosto,0.0,196,0.0237892948173322,66,23,17,18,72,-1,-1,-1
