,candidate,position,first place count,first place freq,len_1,len_2
0,RYAN RICHARDSON,1.0,82594,0.5832168227202756,50289,32305
1,BRENDA HARBIN-FORTE,0.0,59024,0.4167831772797243,27306,31718
