,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10
0,JOE TUMAN,0.0,14378,0.12013100947479237,1484,1882,11012,-1,-1,-1,-1,-1,-1,-1
1,REBECCA KAPLAN,2.107996131805979,25871,0.2161572782113196,1948,3926,19997,-1,-1,-1,-1,-1,-1,-1
2,JEAN QUAN,1.4814114224974129,29371,0.24540046454890296,3986,4519,20866,-1,-1,-1,-1,-1,-1,-1
3,DON PERATA,3.293271063825503,40415,0.3376752502381231,8655,5397,26363,-1,-1,-1,-1,-1,-1,-1
4,MARCIE HODGE,2.0825167759439385,3012,0.02516585064251458,474,383,2155,-1,-1,-1,-1,-1,-1,-1
5,TERENCE CANDELL,3.618204686856291,2326,0.019434186120348244,436,276,1614,-1,-1,-1,-1,-1,-1,-1
6,GREG HARLAND,3.246686346743199,976,0.008154671390137527,168,137,671,-1,-1,-1,-1,-1,-1,-1
7,ARNOLD FIELDS,5.399105248188282,747,0.0062413314840499305,118,111,518,-1,-1,-1,-1,-1,-1,-1
8,LARRY LIONEL ''LL'' YOUNG JR.,4.499713973970105,944,0.007887305115051051,162,125,657,-1,-1,-1,-1,-1,-1,-1
9,DON MACLEAY,9.0,1646,0.013752652774760624,85,142,1419,-1,-1,-1,-1,-1,-1,-1
