,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,"Nekoie, Catherine E.",4.045409337818736,532,0.08076514346439957,170,109,67,17,165,4
1,"English, Nancy L.",5.0,1564,0.2374373766509792,524,339,226,80,384,11
2,"O'Brien, Robert J.",4.663957241276974,831,0.12615758311826325,254,163,135,46,224,9
3,"Boykin, Atiim B.",3.0271019815922706,1387,0.21056626688932747,355,274,219,94,422,23
4,"Pelletier, Wesley K.",2.328357012346475,2240,0.34006376195536664,653,568,262,314,428,15
5,write-in,0.0,33,0.0050098679216638835,30,1,1,-1,-1,1
