,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,Steve Zeltzer,2.6668924028417114,806,0.03242025662684526,154,91,561,-1,-1,-1
1,James Boris Perez,5.0,583,0.02345038413579502,124,87,372,-1,-1,-1
2,Renee Saucedo,0.0,5499,0.22118981537347654,636,905,3958,-1,-1,-1
3,Miguel Bustos,0.9725742302730762,4349,0.17493262539720847,850,632,2867,-1,-1,-1
4,Tom Ammiano,1.4381291460277934,12597,0.5066972366356944,2295,2743,7559,-1,-1,-1
5,Lucrecia Bermudez,0.7239489514015636,1027,0.04130968183098025,119,98,810,-1,-1,-1
