,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,Irene Estrada,2.9229254889431266,607,0.06093765686176087,154,83,58,63,249
1,Monique S. Johnson,4.0,2585,0.2595120971789981,980,370,170,166,899
2,Marjorie Velazquez,2.2115748675638236,5620,0.5642003814878024,2690,813,358,311,1448
3,John Perez,0.0,551,0.05531573135227387,214,64,46,36,191
4,Marilyn Soto,1.0652030744516983,598,0.060034133119164744,177,79,59,62,221
