,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,CARROLL FIFE,0.4710250565953915,10002,0.4763083956378875,4617,1647,910,640,2188,-1
1,MICHELLE D. HAILEY,2.258816873734369,1515,0.07214629268060384,281,166,169,174,725,-1
2,SHAN M. HIRSCH,5.0,659,0.031382446783180154,189,75,50,59,286,-1
3,BABA AFOLABI,0.0,1662,0.07914662602981094,310,235,207,172,738,-1
4,MERON SEMEDAR,3.5118091788379404,857,0.04081146721272442,137,110,90,92,428,-1
5,WARREN MITCHELL LOGAN,0.7887391252649668,6304,0.3002047716557931,2144,1250,807,516,1587,-1
