,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,SHOSHANA O'KEEFE,0.0,5833,0.6731679169070975,2858,1407,1568
1,TODD ANDREW,0.6778653089662291,1741,0.20092325447201384,672,617,452
2,NILANG GOR,2.0,1091,0.12590882862088862,387,250,454
