,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10
0,TYRON C. JORDAN,3.544123105478548,1020,0.010787714696674845,158,155,113,119,475,-1,-1,-1,-1,-1
1,PETER LIU,0.0,273,0.002887300109992385,42,39,30,22,140,-1,-1,-1,-1,-1
2,LOREN MANUEL TAYLOR,4.92193171365297,42449,0.44894872662661817,16876,13444,3206,1718,7205,-1,-1,-1,-1,-1
3,ERIC SIMPSON,1.7530261213664147,598,0.006324562145697606,81,132,88,75,222,-1,-1,-1,-1,-1
4,RENIA JANEEN WEBB,6.1117843360143755,811,0.008577290802944412,65,129,144,94,379,-1,-1,-1,-1,-1
5,BARBARA LEE,5.146069785762859,47233,0.499545223792199,19551,12568,3754,2270,9090,-1,-1,-1,-1,-1
6,MINDY RUTH PECHENUK,4.738469430363896,848,0.008968609865470852,177,135,107,69,360,-1,-1,-1,-1,-1
7,SUZ ROBINSON,4.095394565437533,775,0.008196547931297064,101,181,201,81,211,-1,-1,-1,-1,-1
8,ELIZABETH SWANEY,6.605452218827179,346,0.003659362044166173,59,51,48,34,154,-1,-1,-1,-1,-1
9,PRESIDENT CRISTINA GRAPPO,9.0,199,0.0021046619849395044,57,46,21,18,57,-1,-1,-1,-1,-1
