,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,JOYCE RUTLEDGE STAROSCIAK,2.48181319031492,5213,0.23216353433686648,1271,865,3077,-1,-1,-1
1,STEPHEN H. CASSIDY,2.4897830719447582,7916,0.3525429767524717,1785,1274,4857,-1,-1,-1
2,SARA M. MESTAS,2.4888131070873962,930,0.04141801015409281,180,138,612,-1,-1,-1
3,JOHN R. PALAU,2.4880456078687323,395,0.01759152044179211,88,66,241,-1,-1,-1
4,ANTHONY B. ''TONY'' SANTOS,0.0,7991,0.3558831388616728,2276,1063,4652,-1,-1,-1
5,LOU FILIPOVICH,5.0,9,0.000400819453104124,3,1,5,-1,-1,-1
