,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,"Cronk, Mike",2.0,9411,0.5192848866081775,7412,863,1136
1,"Fletcher, Savannah",0.0,7529,0.41543894498703304,5068,1130,1331
2,"Williams, Robert ""Bert""",0.688608146174388,1183,0.06527616840478949,608,229,346
