,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,Donovan J. Richards Jr.,0.0,80550,0.41236638407666787,33468,15355,31727
1,Elizabeth S. Crowley,0.8834776065542802,80413,0.41166502846377523,34999,14950,30464
2,James G. Van Bramer,2.0,34373,0.17596858745955687,11740,8437,14196
