,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8
0,Mercedes Narcisse,3.0880752186702516,6435,0.34827082318558206,2211,1015,748,360,2101,-1,-1,-1
1,Tiffany Pryor,0.0,551,0.029820858364453105,178,67,64,35,207,-1,-1,-1
2,Shirley S. Paul,4.423207680897466,3019,0.1633923255939817,893,531,386,207,1002,-1,-1,-1
3,Judy D. Newton,3.375280171576278,1623,0.08783893489202793,446,285,222,118,552,-1,-1,-1
4,R. Dimple Willabus,1.8702283489961284,1394,0.07544514802186503,429,212,172,94,487,-1,-1,-1
5,Gardy Brazela,3.8180976505150346,2636,0.14266385235698437,679,566,426,210,755,-1,-1,-1
6,Donald J. Cranston,1.768379297797934,2390,0.129350002706067,1111,397,296,110,476,-1,-1,-1
7,Zuri S. Jackson,7.0,429,0.023218054879038805,104,51,54,37,183,-1,-1,-1
