,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,MARK SANCHEZ,1.4785236292202792,7693,0.28909097741535456,1098,841,5754,-1,-1,-1,-1
1,DAVID CAMPOS,1.9262915158401464,9513,0.3574837473225358,1317,1115,7081,-1,-1,-1,-1
2,EVA ROYALE,2.5536394110570932,1849,0.06948254481229567,355,182,1312,-1,-1,-1,-1
3,TOM VALTIN,0.0,873,0.03280598248844463,133,116,624,-1,-1,-1,-1
4,ERIC QUEZADA,2.0325285423168755,5394,0.2026981323512833,916,568,3910,-1,-1,-1,-1
5,ERIC STOREY,3.1230147317974737,812,0.030513697343203937,211,119,482,-1,-1,-1,-1
6,VERN MATHEWS,6.0,477,0.017924918266882115,77,55,345,-1,-1,-1,-1
