,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,SHARON LAI,4.484925525945133,8499,0.29507342985105717,1632,3347,1605,414,224,1277
1,MOE JAMIL,5.0,3765,0.1307155504634934,761,1070,987,214,156,577
2,DANNY SAUTER,3.7149707940470185,11280,0.39162587230496826,4397,2801,2058,473,224,1327
3,MATTHEW SUSK,2.1848464354107118,2804,0.09735097038502934,643,891,568,134,100,468
4,EDUARD NAVARRO,2.736237119494586,884,0.030691247439502828,157,183,184,55,57,248
5,WENDY HA CHAU,0.0,1571,0.054542929555949034,331,282,281,77,96,504
