,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,Bevan Dufty,2.0,20924,0.6597925141109324,10661,5034,5229
1,Alix Amelia Rosenthal,1.142837883916227,9252,0.2917415570901523,3367,3001,2884
2,Starchild,0.0,1537,0.04846592879891527,590,253,694
