,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,KARA MURRAY-BADAL,5.0,4231,0.33550075331060186,1497,1307,568,243,616,-1
1,CHARLENE WANG,4.3602832986878495,5913,0.4688763777654429,1509,1622,1227,421,1134,-1
2,HAROLD LOWE III,3.522992775492542,1388,0.11006264372373326,359,358,314,97,260,-1
3,KANITHA MATOURY,2.982547884132323,564,0.04472286099436999,124,124,111,47,158,-1
4,PAULA F.L. THOMAS,1.909765830513678,269,0.021330584410435335,48,29,32,42,118,-1
5,REV KENNETH ANDERSON,0.0,246,0.0195067797954167,52,26,23,35,110,-1
