,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8
0,LAURIE CAPITELLI,3.9587954859054912,19025,0.32092913412391827,6320,4212,8493,-1,-1,-1,-1,-1
1,BEN GOULD,3.3640923172061252,1759,0.02967223899731786,208,282,1269,-1,-1,-1,-1,-1
2,BERNT RAINER WAHL,1.4887915904021114,1679,0.02832273409692819,252,191,1236,-1,-1,-1,-1,-1
3,KRISS WORTHINGTON,5.155974459053701,4776,0.08056544255326327,697,795,3284,-1,-1,-1,-1,-1
4,JESSE ARREGUÍN,4.3159914787960085,29078,0.49051129366913515,5860,6614,16604,-1,-1,-1,-1,-1
5,GUY ''MIKE'' LEE,3.7714702674765195,958,0.016160321182166294,170,104,684,-1,-1,-1,-1,-1
6,NAOMI D. PETE,0.0,377,0.006359541843086318,105,50,222,-1,-1,-1,-1,-1
7,ZACHARY RUNNINGWOLF,7.0,1629,0.027479293534184646,318,180,1131,-1,-1,-1,-1,-1
