,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,MYRNA MELGAR,2.135730882520547,7891,0.20029443866284236,642,1798,1467,591,250,363,2780
1,VILASKA NGUYEN,0.8666532247141936,8273,0.20999060842196107,727,3051,1185,440,154,374,2342
2,EMILY MURASE,0.0,4943,0.12546640607152829,578,506,911,307,131,234,2276
3,STEPHEN W. MARTIN-PINTO,4.879325972414011,4608,0.11696322054978806,826,561,1036,313,122,290,1460
4,BEN MATRANGA,3.6710273416744004,3425,0.08693555346853821,317,384,844,321,125,198,1236
5,JOEL ENGARDIO,1.9825606890030834,9282,0.23560169556057567,1140,1196,2330,910,318,498,2890
6,KEN PIPER,6.0,975,0.02474807726476635,90,101,132,54,27,112,459
