,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,Andrew Struthers,0.9488895665268411,7152,0.3471002183935938,521,790,5841
1,Roen Hogg,2.0,5536,0.2686726522688668,847,396,4293
2,Charles Maughan,0.0,7917,0.38422712933753944,372,957,6588
