,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,TAY GUDMUNDSON,6.0,35,0.03213957759412305,1,3,5,3,1,2,20
1,CRISTY WELSH,0.797127920717258,346,0.317722681359045,26,21,30,31,11,36,191
2,ANTHONY JENKINS,3.9216159579906167,93,0.08539944903581267,2,8,10,5,8,11,49
3,G. TYCE FLAKE,0.0,273,0.25068870523415976,11,28,31,25,9,13,156
4,DAVID LAURET,1.761192800914332,154,0.1414141414141414,4,13,15,9,4,1,108
5,HECTOR RAFAEL HERNANDEZ,5.059842601281952,88,0.08080808080808081,4,3,10,11,3,5,52
6,KEITH KUDER,3.157443120970196,100,0.09182736455463728,16,7,7,6,1,2,61
