,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8
0,Elizabeth E. Adams,4.298004890490515,6189,0.21211186510384536,1341,1179,1027,785,1857,-1,-1,-1
1,Victoria E. Cambranes,3.2411317312577537,2060,0.07060113784358078,442,303,313,315,687,-1,-1,-1
2,Toba Potosky,0.0,1597,0.054733018027280825,493,302,248,133,421,-1,-1,-1
3,April Somboun,3.935850829817567,1483,0.05082596476797587,313,265,268,187,450,-1,-1,-1
4,Sabrina N. Gates,2.9839414342499984,1620,0.055521283158544106,414,183,221,208,594,-1,-1,-1
5,Ben Solotaire,7.0,627,0.021488792926177256,164,102,113,66,182,-1,-1,-1
6,Lincoln Restler,2.2550463994883243,14458,0.49551031599150047,7371,2077,1720,1150,2140,-1,-1,-1
7,Stu Sherman,0.7006102021363477,1144,0.039207622181095345,320,199,172,124,329,-1,-1,-1
