,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,SEAN SULLIVAN,1.8735089521447676,5744,0.26055794964844636,1297,710,3737,-1,-1,-1
1,ALEX MILLER-COLE,2.7987893540435564,2016,0.09144930823315944,471,249,1296,-1,-1,-1
2,"LARRY LIONEL YOUNG, JR.",0.0,1969,0.08931730551145385,444,202,1323,-1,-1,-1
3,NYEISHA DEWITT,3.4000837453351265,3924,0.17799954638239965,883,469,2572,-1,-1,-1
4,DERRICK MUHAMMAD,5.0,3161,0.14338852347471082,673,323,2165,-1,-1,-1
5,LYNETTE GIBSON-MCELHANEY,2.2993661016495848,5231,0.2372873667498299,919,654,3658,-1,-1,-1
