,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,Becka Thompson,0.0,4485,0.4173646007816862,2043,500,1942
1,Mike Shelton,2.0,3213,0.2989949748743719,1438,471,1304
2,Eric Moran,1.050072065607591,3048,0.28364042434394193,1330,724,994
