,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,Linda Lee,2.6171839056438087,4958,0.29990321800145175,1626,933,745,394,1260,-1,-1
1,Steve Behar,0.0,2194,0.13271231550931525,653,458,397,171,515,-1,-1
2,Debra Markell,0.6696582209449147,2080,0.12581659811275103,642,475,393,137,433,-1,-1
3,Sanjeev Kumar Jindal,3.564940866235178,1785,0.10797241713041374,692,215,207,134,537,-1,-1
4,Harpreet S. Toor,1.7780545558014977,692,0.041858214372126785,164,83,128,54,263,-1,-1
5,Jaslin Kaur,3.796097808886694,4032,0.24389063634164046,936,724,605,408,1359,-1,-1
6,Koshy O. Thomas,6.0,791,0.04784660053230099,261,111,77,59,283,-1,-1
