,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,TOM BATES,5.81585933252947,28748,0.5418323689616827,12184,4822,11742,-1,-1,-1,-1
1,KRISS WORTHINGTON,6.0,11582,0.21829353336977214,1885,2429,7268,-1,-1,-1,-1
2,JACQUELYN MCCORMICK,5.133821888192449,6053,0.11408485214015116,1312,1273,3468,-1,-1,-1,-1
3,ZACHARY RUNNINGWOLF,5.060689015590675,2034,0.038336129068737394,334,240,1460,-1,-1,-1,-1
4,BERNT RAINER WAHL,5.61123633589334,2351,0.04431083551651997,279,316,1756,-1,-1,-1,-1
5,KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,4.651938030848976,2278,0.04293495674463313,230,321,1727,-1,-1,-1,-1
6,MARK SCHWARTZ,0.0,11,0.00020732419850349624,1,-1,10,-1,-1,-1,-1
