,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,Allen Kathir,1.672236078246781,381,0.17405207857469163,126,192,63,-1
1,Jeffery Cobia,0.0,248,0.11329374143444496,119,82,47,-1
2,Diane Hofstede,1.3714122058507887,1502,0.6861580630424852,838,513,151,-1
3,Raymond Wilson Rolfe,3.0,58,0.026496116948378255,17,35,6,-1
