,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,Nancy J. Martinez,0.9751593698648798,3076,0.19235820148833718,1184,368,1524
1,Selvena N. Brooks-Powers,2.0,10848,0.6783815896441748,5867,888,4093
2,Nicole S. Lee,0.0,2067,0.12926020886748796,803,249,1015
