,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,SOPHIE HAHN,3.8508945591312713,19744,0.37355027906536753,5248,5157,4240,757,4342
1,ADENA ISHII,4.0,20080,0.37990729353892727,5467,5353,4197,655,4408
2,KATE HARRISON,3.287580923290101,11941,0.2259199697285025,3028,3510,2715,489,2199
3,NAOMI D. PETE,0.7833023706169715,524,0.009913915429003878,139,43,54,68,220
4,LOGAN BOWIE,0.0,566,0.010708542238198846,125,52,34,66,289
