,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,Bob Fine,0.0,6214,0.25398512221041447,3173,1012,2029,-1
1,Cathy Abene,1.8090992261458585,6446,0.26346766941878524,2005,1668,2773,-1
2,Risa Hustad,3.0,6562,0.26820894302297066,2489,1146,2927,-1
3,Barb Schlaefer,1.2894747467448167,5244,0.21433826534782965,1693,1439,2112,-1
