,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5
0,Bob Kiss,4.0,2591,0.28885172798216274,333,573,559,348,778
1,Andy Montroll,3.002996715437522,2078,0.23166109253065775,187,444,488,299,660
2,Kurt Wright,1.4063798104123542,2957,0.329654403567447,854,647,425,206,825
3,Dan Smith,2.2741862621591853,1309,0.14593088071348942,126,246,310,193,434
4,James Simpson,0.0,35,0.0039018952062430325,4,6,6,6,13
