,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,TY MOORE,5.0,1571,0.3771908763505402,274,417,880,-1,-1,-1
1,ALONDRA CANO,3.286373015949127,1699,0.4079231692677071,370,398,931,-1,-1,-1
2,CHARLES CURTIS,3.9428949083765708,338,0.08115246098439376,87,56,195,-1,-1,-1
3,ABDI ABDULLE,2.3459780390393985,286,0.06866746698679471,159,31,96,-1,-1,-1
4,PAT FLEETHAM,2.8536830883382036,154,0.03697478991596639,27,22,105,-1,-1,-1
5,GREGORY MCDONALD,0.0,117,0.02809123649459784,16,18,83,-1,-1,-1
