,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,Robert Lilligren,2.3844540048703933,1021,0.5295643153526971,428,192,401,-1,-1,-1
1,M. Cali,0.0,158,0.08195020746887967,77,25,56,-1,-1,-1
2,Andy Exley,1.483849887122395,165,0.08558091286307054,19,26,120,-1,-1,-1
3,Laura Jean,3.3584685468127895,231,0.11981327800829876,52,33,146,-1,-1,-1
4,Bruce Lundeen,2.8285843592905002,60,0.03112033195020747,9,14,37,-1,-1,-1
5,Michael Tupper,5.0,293,0.15197095435684646,92,45,156,-1,-1,-1
