,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,Alicia Gibson,3.09984286133181,2000,0.18809367064798269,309,353,1338,-1,-1,-1
1,Chris Parsons,4.025147632743034,1614,0.15179159221292204,362,335,917,-1,-1,-1
2,David Wheeler,5.0,625,0.058779272077494595,147,136,342,-1,-1,-1
3,Aisha Chughtai,1.70584013771425,3934,0.36998025016458197,832,1397,1705,-1,-1,-1
4,Katie Jones,2.529048056488188,2086,0.19618169848584596,294,672,1120,-1,-1,-1
5,Ubah Nur,0.0,374,0.035173516411172764,168,59,147,-1,-1,-1
