,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,Bonnie Burton,2.944586948782548,1051,0.3478980470043032,578,154,319,-1
1,Dana Minion,2.9053956393604405,432,0.14299900695134063,112,125,195,-1
2,Patsy Foster-Bolton,3.0,1448,0.4793114862628269,431,447,570,-1
3,Reed Gilkey,0.0,90,0.029791459781529295,41,7,42,-1
