,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6
0,Jan Shabro,3.0952634891246493,50082,0.19131916324129394,16820,5868,27394,-1,-1,-1
1,Dale Washam,5.0,65732,0.251104014180279,22190,5977,37565,-1,-1,-1
2,Terry Lee,3.96089629767373,50372,0.19242699753984382,14908,6635,28829,-1,-1,-1
3,Barbara Gelman,2.4392480130662832,49947,0.19080344727472762,16640,6024,27283,-1,-1,-1
4,Bernardo Tuma,0.0,18247,0.06970569808841282,4535,2156,11556,-1,-1,-1
5,Beverly Davidson,1.2262342223964486,27392,0.10464067967544276,7534,2796,17062,-1,-1,-1
