,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,JOAN SHANNON,2.0,1202,0.7150505651397977,697,96,409
1,"WILL ""BILLY"" ANDERSON",0.0,249,0.14812611540749554,23,68,158
2,FARIED MUNARSYAH,0.9355072624163381,230,0.13682331945270673,34,67,129
