,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,URSULA REED,0.0,10763,0.4248273139925005,2894,1536,6333
1,MORGAN MACK-ROSE,0.9105148837340453,9719,0.38361949871718964,2105,1771,5843
2,DAN DILLMAN,2.0,4853,0.19155318729030985,1338,682,2833
