,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4
0,DEAN PRESTON,0.0,11246,0.4745748406971347,5338,2373,1029,2506
1,VALLIE BROWN,0.6622373636875598,11209,0.4730134616196143,5657,2409,633,2510
2,RYAN LAM,1.9296155818405687,958,0.04042705827741908,294,152,134,378
3,NOMVULA O'MEARA,3.0,284,0.011984639405831962,73,42,54,115
