,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18
0,Jacob Frey,16.995406568318064,61639,0.42837584265758566,29523,10037,22079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Mark Globus,16.99528544898021,1159,0.008054764055876016,126,204,829,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Mike Winter,16.995071287315984,642,0.00446174160817291,109,118,415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,"Kevin ""No Body"" Ward",17.0,283,0.001966780179303635,58,44,181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Kate Knuth,15.86542577934107,26472,0.18397386892765308,1900,10270,14302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,AJ Awed,16.99605373220777,6868,0.04773090555285287,2983,1149,2736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,"Bob ""Again"" Carney Jr",15.866160458334532,2792,0.019403711168253526,511,747,1534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Laverne Turner,16.993668659634707,4628,0.032163458197234,1143,1233,2252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Sheila Nezhad,15.867611495039807,30369,0.21105705747445966,1446,13234,15689,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,Clint Conner,16.995182940000152,4312,0.029967336159566337,536,1148,2628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,"Perry, Jerrell",16.99644516965195,687,0.004774480505942039,95,89,503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"Nate ""Honey Badger"" Atkins",16.99548448495182,1181,0.008207658628118703,184,167,830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,Troy Benjegerdes,16.99441955531566,184,0.0012787546042115506,21,25,138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,Doug Nelson,16.996860977524243,741,0.005149767183264994,100,68,573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,Marcus Harcus,16.995754936649863,1194,0.008298005420807561,177,164,853,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,Christopher W David,16.995763781375622,493,0.0034262283688929044,88,81,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,Paul E. Johnson,16.995477501677836,244,0.001695739801237056,47,33,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,"Christopher Robin ""CRZ"" Zimmerman",0.0,2,1.3899506567516853e-05,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
