,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8
0,Sandra Ung,2.7225806872139793,2373,0.2229425028184893,625,429,358,204,757,-1,-1,-1
1,Ellen Young,2.285048729762739,1707,0.16037204058624577,301,273,257,194,682,-1,-1,-1
2,Hailing Chen,4.10405074658738,1014,0.09526493799323563,411,146,120,81,256,-1,-1,-1
3,Dao Yin,4.970578406123817,963,0.09047350620067644,167,467,104,51,174,-1,-1,-1
4,Neng Wang,3.3735191317119906,1410,0.13246899661781286,395,209,203,129,474,-1,-1,-1
5,Ming-Kang Low,7.0,53,0.004979331078541901,8,9,6,6,24,-1,-1,-1
6,Anthony Miranda,1.2224313890834615,1490,0.13998496805712138,593,216,146,123,412,-1,-1,-1
7,John Choe,0.0,1634,0.15351371664787675,467,294,249,158,466,-1,-1,-1
