,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,RICHARD RAYA,2.434013013625484,5743,0.2006778950310993,991,793,3959,-1,-1,-1,-1
1,GORDON ''DON'' LINK,0.0,2158,0.07540708644908799,413,241,1504,-1,-1,-1,-1
2,AMY LEMLEY,2.740243320190246,7276,0.2542455797050807,1697,1276,4303,-1,-1,-1,-1
3,LEN RAPHAEL,1.6575229488199468,1913,0.06684604095324621,333,237,1343,-1,-1,-1,-1
4,CRAIG BRANDT,3.202852930925001,1390,0.04857082954783703,227,189,974,-1,-1,-1,-1
5,DONALD MACLEAY,6.0,1866,0.0652037179397582,222,156,1488,-1,-1,-1,-1
6,DAN KALB,3.491207998545983,8272,0.28904885037389055,2380,1303,4589,-1,-1,-1,-1
