,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,Rebecca N. Lamorte,5.069873518638681,2896,0.11394845563643517,648,444,519,302,983,-1,-1
1,Julie Menin,3.6013878280793876,8885,0.3495966948652371,3368,1676,1463,695,1683,-1,-1
2,Tricia M. Shimamura,3.176194918266035,6002,0.23615974818020855,1459,1084,1173,634,1652,-1,-1
3,Marco A. Tamayo,0.0,673,0.02648042494589809,184,124,99,66,200,-1,-1
4,Billy Freeland,6.0,2651,0.10430847924454062,628,474,488,265,796,-1,-1
5,Kim Moscaritolo,4.022162741049613,2816,0.11080070824316349,573,518,527,359,839,-1,-1
6,Christopher  A. Sosa,1.596257011773281,1492,0.058705488884517015,451,205,171,135,530,-1,-1
