,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8
0,LONDON BREED,3.140854677741766,9866,0.2797595417682754,2525,1330,6011,-1,-1,-1,-1,-1
1,THEA SELBY,2.5661626804539077,4757,0.13488912833891,739,762,3256,-1,-1,-1,-1,-1
2,JOHN RIZZO,3.6312792851072917,5701,0.16165712017240402,578,1331,3792,-1,-1,-1,-1,-1
3,HOPE JOHNSON,7.0,496,0.014064538082005331,60,50,386,-1,-1,-1,-1,-1
4,JULIAN DAVIS,4.428291224399324,5369,0.15224295355299722,724,795,3850,-1,-1,-1,-1,-1
5,CHRISTINA OLAGUE,3.486590574943162,6970,0.19764078716043781,1297,903,4770,-1,-1,-1,-1,-1
6,DANIEL EVERETT,4.162428823934591,1322,0.037486530936312594,226,133,963,-1,-1,-1,-1,-1
7,ANDREW ''ELLARD'' RESIGNATO,0.0,785,0.02225939998865763,87,85,613,-1,-1,-1,-1,-1
