,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,Sophie Maxwell,3.7982899427240495,7997,0.5583717357910907,3785,1203,3009,-1,-1,-1,-1
1,Espanola Jackson,4.293822356715008,1483,0.10354699064376484,405,231,847,-1,-1,-1,-1
2,Marie L. Harrison,3.063352183903251,1166,0.08141321044546851,283,194,689,-1,-1,-1,-1
3,Dwayne Jusino,2.760576738437643,1723,0.12030442675603965,511,249,963,-1,-1,-1,-1
4,Charlie Walker,6.0,481,0.03358469487501745,154,71,256,-1,-1,-1,-1
5,Rodney Hampton Jr.,3.4547488869818928,1196,0.08350788995950287,256,137,803,-1,-1,-1,-1
6,Sala Chandler,0.0,276,0.019271051529116047,45,33,198,-1,-1,-1,-1
