,candidate,position,first place count,first place freq,len_1,len_2,len_3
0,GORDON REYNOLDS,0.0,487,0.37203972498090143,98,70,319
1,GEORGE D. POTTER,2.0,263,0.20091673032849502,36,28,199
2,ROBERT HADDOCK,0.9784584928242921,559,0.4270435446906035,46,64,449
