,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7
0,Renee T. Collymore,4.593394995841232,4443,0.12725554218937962,1491,660,560,320,1412,-1,-1
1,Curtis M. Harris,6.0,1655,0.04740218823394627,505,204,219,165,562,-1,-1
2,Michael Hollingsworth,2.9690578595264845,11886,0.34043650111703044,3282,3965,1554,634,2451,-1,-1
3,Deirdre M. Levy,0.0,1402,0.04015581142235206,418,162,182,144,496,-1,-1
4,Crystal Hudson,3.374913685866468,13376,0.38311279143037175,3059,3716,1892,2290,2419,-1,-1
5,Hector Robertson,4.288574637961438,510,0.014607320845506101,160,51,77,46,176,-1,-1
6,Regina A. Kinsey,1.3334248296806723,1642,0.04702984476141376,519,227,207,149,540,-1,-1
